tendencia;claseterapeutica;corporacion;producto;fechalanzamiento;presentacion;moleculan1;fecini;fecend;tipo
ALTA;A06A  DROGAS PARA CONSTIPACION;SANFER CORP.;LAXOYA;2010-06-01;LAXOYA COMP 50 MG 60;DOCUSATO DE SODIO + SENOSIDOS A Y B;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;A06A  DROGAS PARA CONSTIPACION;SANFER CORP.;LAXOYA;2010-06-01;LAXOYA COMP 50 MG 60;DOCUSATO DE SODIO + SENOSIDOS A Y B;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;A06A  DROGAS PARA CONSTIPACION;SANFER CORP.;LAXOYA;2010-06-01;LAXOYA COMP 50 MG 60;DOCUSATO DE SODIO + SENOSIDOS A Y B;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;A06A  DROGAS PARA CONSTIPACION;SANFER CORP.;LAXOYA;2010-06-01;LAXOYA COMP 50 MG 60;DOCUSATO DE SODIO + SENOSIDOS A Y B;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;A06A  DROGAS PARA CONSTIPACION;SENOSIAIN;SENOSIAIN;1991-02-01;SENOSIAIN SUP AD 20;GLICEROL;2014-04-01;2014-08-01;BAJA, por demanda
BAJA;A06A  DROGAS PARA CONSTIPACION;SENOSIAIN;SENOSIAIN;1991-02-01;SENOSIAIN SUP AD 20;GLICEROL;2014-08-01;2014-12-01;lanzamiento
BAJA;A06A  DROGAS PARA CONSTIPACION;SENOSIAIN;SENOSIAIN;1991-02-01;SENOSIAIN SUP AD 20;GLICEROL;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;A06A  DROGAS PARA CONSTIPACION;QUIFA PERRIGO;LAXACAPS;1994-03-01;LAXACAPS PERLAS 30;CONCENTRADO DE CIRUELA + SENOSIDOS A Y B;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;A06A  DROGAS PARA CONSTIPACION;GRISI CORP.;CIRUELAX;2003-05-01;CIRUELAX TE SB 10;CASSIA ANGUSTIFOLIA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;A06A  DROGAS PARA CONSTIPACION;GRISI CORP.;CIRUELAX;2003-05-01;CIRUELAX TE SB 10;CASSIA ANGUSTIFOLIA;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;A06A  DROGAS PARA CONSTIPACION;MEDA PHARMA S DE RL;PLANTABEN;2001-06-01;PLANTABEN PO EFER SOB. 3.50 G /5G 30;PLANTAGO OVATA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;A06A  DROGAS PARA CONSTIPACION;MEDA PHARMA S DE RL;PLANTABEN;2001-06-01;PLANTABEN PO EFER SOB. 3.50 G /5G 30;PLANTAGO OVATA;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;A06A  DROGAS PARA CONSTIPACION;TAKEDA;FLEET;2004-12-01;FLEET SOL ENE AD+ AC. MI 133 ML;FOSFATO DE SODIO;2016-04-01;2016-08-01;lanzamiento
BAJA;A06A  DROGAS PARA CONSTIPACION;TAKEDA;FLEET;2004-12-01;FLEET SOL ENE AD+ AC. MI 133 ML;FOSFATO DE SODIO;2017-04-01;2017-08-01;lanzamiento
ALTA;A06A  DROGAS PARA CONSTIPACION;SENOSIAIN;LACTULAX;1998-05-01;LACTULAX JBE C/DOSIFI 667 MG /1ML 125 ML;LACTULOSA;2015-04-01;2015-08-01;ALTA, por demanda
