ALTA;A04A  ANTIEMETICOS ANTINAUSEA;CORPORATIVO RAYERE;VOMISIN;2001-07-01;VOMISIN SUPS 25 MG 5;DIMENHIDRINATO;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;CORPORATIVO RAYERE;VOMISIN;2001-07-01;VOMISIN SUPS 25 MG 5;DIMENHIDRINATO;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;ANTIBIOTICOS DE MEXICO SA CV;DIFENIDOL G.I ANT;2009-05-01;DIFENIDOL G.I ANT AMP 40 MG 2 2 ML;DIFENIDOL;2017-04-01;2017-08-01;BAJA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;ANTIBIOTICOS DE MEXICO SA CV;DIFENIDOL G.I ANT;2009-05-01;DIFENIDOL G.I ANT AMP 40 MG 2 2 ML;DIFENIDOL;2018-12-01;2019-04-01;ALTA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;OFFENBACH;VO-REMI;2005-11-01;VO-REMI GTS 15 ML;MECLOZINA + PIRIDOXINA;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;OFFENBACH;VO-REMI;2005-11-01;VO-REMI GTS 15 ML;MECLOZINA + PIRIDOXINA;2017-04-01;2017-08-01;BAJA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;OFFENBACH;VO-REMI;2005-11-01;VO-REMI GTS 15 ML;MECLOZINA + PIRIDOXINA;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;TEVA CORPORACION;CLODASET;2009-12-01;CLODASET TABL 10;METOCLOPRAMIDA + ONDANSETRON;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;TEVA CORPORACION;CLODASET;2009-12-01;CLODASET TABL 10;METOCLOPRAMIDA + ONDANSETRON;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;TEVA CORPORACION;CLODASET;2009-12-01;CLODASET TABL 10;METOCLOPRAMIDA + ONDANSETRON;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;ROCHE CORP.;KYTRIL;1994-11-01;KYTRIL A.IV 3 MG 3 ML;GRANISETRON;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;ROCHE CORP.;KYTRIL;1994-11-01;KYTRIL A.IV 3 MG 3 ML;GRANISETRON;2017-04-01;2017-08-01;BAJA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;CORPORATIVO RAYERE;VOMISIN;1900-12-01;VOMISIN GOTAS 15 ML;DIMENHIDRINATO;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;OFFENBACH;VO-REMI;2005-11-01;VO-REMI TABL 25 MG /50 12;MECLOZINA + PIRIDOXINA;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;OFFENBACH;VO-REMI;2005-11-01;VO-REMI TABL 25 MG /50 12;MECLOZINA + PIRIDOXINA;2018-04-01;2018-08-01;ALTA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;PISA;DIFENIDOL G.I PIS;2010-11-01;DIFENIDOL G.I PIS AMP 40 MG 2 2 ML;DIFENIDOL;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;PISA;DIFENIDOL G.I PIS;2010-11-01;DIFENIDOL G.I PIS AMP 40 MG 2 2 ML;DIFENIDOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;PISA;DIFENIDOL G.I PIS;2010-11-01;DIFENIDOL G.I PIS AMP 40 MG 2 2 ML;DIFENIDOL;2016-04-01;2016-08-01;BAJA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;PISA;DIFENIDOL G.I PIS;2010-11-01;DIFENIDOL G.I PIS AMP 40 MG 2 2 ML;DIFENIDOL;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;PISA;DIFENIDOL G.I PIS;2010-11-01;DIFENIDOL G.I PIS AMP 40 MG 2 2 ML;DIFENIDOL;2018-04-01;2018-08-01;ALTA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;VITALIS S.A.;ONDANSETRON G.I V;2018-07-01;ONDANSETRON G.I V AMP 8 MG 3 4 ML;ONDANSETRON;2018-12-01;2019-04-01;ALTA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;JOHNSON+JOHNSON CO;DRAMAMINE;1971-05-01;DRAMAMINE SUP INF 25 MG 4;DIMENHIDRINATO;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;A04A  ANTIEMETICOS ANTINAUSEA;JOHNSON+JOHNSON CO;DRAMAMINE;1971-05-01;DRAMAMINE SUP INF 25 MG 4;DIMENHIDRINATO;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;MERCK SHARP DOHME;ONICIT;2005-09-01;ONICIT AMP 0.25 MG /207 5 ML;RASAGILINA;2016-04-01;2016-08-01;BAJA, por demanda
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;PISA;ANTIVON;2010-05-01;ANTIVON AMP 8 MG /4ML 3;ONDANSETRON;2014-12-01;2015-04-01;lanzamiento
BAJA;A04A  ANTIEMETICOS ANTINAUSEA;PISA;ANTIVON;2010-05-01;ANTIVON AMP 8 MG /4ML 3;ONDANSETRON;2016-04-01;2016-08-01;BAJA, por demanda
