ALTA;B01C  INHIB AGREGACION PLAQUET;SANFER CORP.;DISGREN;1995-03-01;DISGREN CAPS 300 MG 20;TRIFLUSAL;2014-04-01;2014-08-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;SANFER CORP.;DISGREN;1995-03-01;DISGREN CAPS 300 MG 20;TRIFLUSAL;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;SANFER CORP.;DISGREN;1995-03-01;DISGREN CAPS 300 MG 20;TRIFLUSAL;2018-08-01;2018-12-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;AVIVIA PHARMA S.A. DE C.V.;CLOPIDOGREL G.I AV;2017-04-01;CLOPIDOGREL G.I AV TABL 75 MG 14;CLOPIDOGREL;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;MICRO PHARMACEUTICALS;GRENPHARMA;2013-11-01;GRENPHARMA TABL 75 MG 14;CLOPIDOGREL;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;MICRO PHARMACEUTICALS;GRENPHARMA;2013-11-01;GRENPHARMA TABL 75 MG 14;CLOPIDOGREL;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;BAYER CORP.;ASPIRINA PROTECT;1997-12-01;ASPIRINA PROTECT TABL 100 MG 30;ACIDO ACETILSALICILICO;2016-04-01;2016-08-01;lanzamiento
ALTA;B01C  INHIB AGREGACION PLAQUET;BAYER CORP.;ASPIRINA PROTECT;1997-12-01;ASPIRINA PROTECT TABL 100 MG 30;ACIDO ACETILSALICILICO;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;BAYER CORP.;ASPIRINA PROTECT;1997-12-01;ASPIRINA PROTECT TABL 100 MG 30;ACIDO ACETILSALICILICO;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;BAYER CORP.;ASPIRINA PROTECT;1997-12-01;ASPIRINA PROTECT TABL 100 MG 30;ACIDO ACETILSALICILICO;2017-08-01;2017-12-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;BAYER CORP.;ASPIRINA PROTECT;1997-12-01;ASPIRINA PROTECT TABL 100 MG 30;ACIDO ACETILSALICILICO;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;LABORATORIOS TORRENT SA DE CV;CLOPIDOGREL GI TOR;2015-11-01;CLOPIDOGREL GI TOR TABL 75 MG 28;CLOPIDOGREL;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;ARMSTRONG;CORASPIR;1999-06-01;CORASPIR GRAN  SOBRES 160 MG 15;LISINA;2014-04-01;2014-08-01;lanzamiento
BAJA;B01C  INHIB AGREGACION PLAQUET;ARMSTRONG;CORASPIR;1999-06-01;CORASPIR GRAN  SOBRES 160 MG 15;LISINA;2016-08-01;2016-12-01;lanzamiento
BAJA;B01C  INHIB AGREGACION PLAQUET;ARMSTRONG;CORASPIR;1999-06-01;CORASPIR GRAN  SOBRES 160 MG 15;LISINA;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;ASPEN LABS;AGRASTAT;2000-10-01;AGRASTAT AMP 12.5 MG /1ML 50 ML;TIROFIBAN;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;ASPEN LABS;AGRASTAT;2000-10-01;AGRASTAT AMP 12.5 MG /1ML 50 ML;TIROFIBAN;2017-08-01;2017-12-01;lanzamiento
ALTA;B01C  INHIB AGREGACION PLAQUET;SANOFI CORP;CLOPIDOGREL G.I WI;2012-03-01;CLOPIDOGREL G.I WI TABL 75 MG 14;CLOPIDOGREL;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SANOFI CORP;CLOPIDOGREL G.I WI;2012-03-01;CLOPIDOGREL G.I WI TABL 75 MG 14;CLOPIDOGREL;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SANOFI CORP;CLOPIDOGREL G.I WI;2012-03-01;CLOPIDOGREL G.I WI TABL 75 MG 14;CLOPIDOGREL;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;SANOFI CORP;CLOPIDOGREL G.I WI;2012-03-01;CLOPIDOGREL G.I WI TABL 75 MG 14;CLOPIDOGREL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SANOFI CORP;CLOPIDOGREL G.I WI;2012-03-01;CLOPIDOGREL G.I WI TABL 75 MG 14;CLOPIDOGREL;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SOLARA, S.A. DE C.V.;CLOPIDOGREL G.I SO;2012-11-01;CLOPIDOGREL G.I SO TABL 75 MG 28;CLOPIDOGREL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SOLARA, S.A. DE C.V.;CLOPIDOGREL G.I SO;2012-11-01;CLOPIDOGREL G.I SO TABL 75 MG 28;CLOPIDOGREL;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SIEGFRIED-MED;AGRELESS;2012-07-01;AGRELESS TABL 75 MG 14;CLOPIDOGREL;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SIEGFRIED-MED;AGRELESS;2012-07-01;AGRELESS TABL 75 MG 14;CLOPIDOGREL;2017-04-01;2017-08-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;BTK FARMA;CLOPIDOGREL GI BTK;2013-02-01;CLOPIDOGREL GI BTK TABL 75 MG 28;CLOPIDOGREL;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;BAYER CORP.;ASPIRINA PROTECT;2013-09-01;ASPIRINA PROTECT TABL 100 MG 84;ACIDO ACETILSALICILICO;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;BAYER CORP.;ASPIRINA PROTECT;2013-09-01;ASPIRINA PROTECT TABL 100 MG 84;ACIDO ACETILSALICILICO;2017-08-01;2017-12-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;BAYER CORP.;ASPIRINA PROTECT;2013-09-01;ASPIRINA PROTECT TABL 100 MG 84;ACIDO ACETILSALICILICO;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;PROTEIN-APOTEX;CLOPIDOGREL G.I PR;2013-01-01;CLOPIDOGREL G.I PR TABL 75 MG 14;CLOPIDOGREL;2015-04-01;2015-08-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;PROTEIN-APOTEX;CLOPIDOGREL G.I PR;2013-01-01;CLOPIDOGREL G.I PR TABL 75 MG 14;CLOPIDOGREL;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;ASPEN LABS;CIDORIX;2012-05-01;CIDORIX TABL 75 MG 28;CLOPIDOGREL;2014-08-01;2014-12-01;lanzamiento
ALTA;B01C  INHIB AGREGACION PLAQUET;ANTIBIOTICOS DE MEXICO SA CV;CLOPIDOGREL GI ANT;2014-02-01;CLOPIDOGREL GI ANT TABL 75 MG 28;CLOPIDOGREL;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;ANTIBIOTICOS DE MEXICO SA CV;CLOPIDOGREL GI ANT;2014-02-01;CLOPIDOGREL GI ANT TABL 75 MG 28;CLOPIDOGREL;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;ANTIBIOTICOS DE MEXICO SA CV;CLOPIDOGREL GI ANT;2014-02-01;CLOPIDOGREL GI ANT TABL 75 MG 28;CLOPIDOGREL;2015-12-01;2016-04-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;ANTIBIOTICOS DE MEXICO SA CV;CLOPIDOGREL GI ANT;2014-02-01;CLOPIDOGREL GI ANT TABL 75 MG 28;CLOPIDOGREL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;ANTIBIOTICOS DE MEXICO SA CV;CLOPIDOGREL GI ANT;2014-02-01;CLOPIDOGREL GI ANT TABL 75 MG 28;CLOPIDOGREL;2018-08-01;2018-12-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SOLFRAN;CLOPIDOGREL GI SOL;2017-09-01;CLOPIDOGREL GI SOL TABL 75 MG 14;CLOPIDOGREL;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;SOLFRAN;CLOPIDOGREL GI SOL;2017-09-01;CLOPIDOGREL GI SOL TABL 75 MG 14;CLOPIDOGREL;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;MERCK;CAUDALINE;2010-04-01;CAUDALINE TABL 100 MG 60;CILOSTAZOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;MERCK;CAUDALINE;2010-04-01;CAUDALINE TABL 100 MG 60;CILOSTAZOL;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;NOVAG INFANCIA, S.A. DE C.V.;CLOPIDOGREL G.I NO;2012-03-01;CLOPIDOGREL G.I NO TABL 75 MG 28;CLOPIDOGREL;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;NOVAG INFANCIA, S.A. DE C.V.;CLOPIDOGREL G.I NO;2012-03-01;CLOPIDOGREL G.I NO TABL 75 MG 28;CLOPIDOGREL;2018-08-01;2018-12-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;NOVAG INFANCIA, S.A. DE C.V.;DEVIPLAT;2012-01-01;DEVIPLAT TABL 75 MG 14;CLOPIDOGREL;2014-04-01;2014-08-01;lanzamiento
ALTA;B01C  INHIB AGREGACION PLAQUET;NOVAG INFANCIA, S.A. DE C.V.;DEVIPLAT;2012-01-01;DEVIPLAT TABL 75 MG 14;CLOPIDOGREL;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;NOVAG INFANCIA, S.A. DE C.V.;DEVIPLAT;2012-01-01;DEVIPLAT TABL 75 MG 14;CLOPIDOGREL;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;NOVAG INFANCIA, S.A. DE C.V.;DEVIPLAT;2012-01-01;DEVIPLAT TABL 75 MG 14;CLOPIDOGREL;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;GRUPO FARMACEUTICO SOMAR;CLOPIDOGREL G.I SE;2012-07-01;CLOPIDOGREL G.I SE GRAG 75 MG 14;CLOPIDOGREL;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;GRUPO FARMACEUTICO SOMAR;CLOPIDOGREL G.I SE;2012-07-01;CLOPIDOGREL G.I SE GRAG 75 MG 14;CLOPIDOGREL;2016-04-01;2016-08-01;lanzamiento
BAJA;B01C  INHIB AGREGACION PLAQUET;GRUPO FARMACEUTICO SOMAR;CLOPIDOGREL G.I SE;2012-07-01;CLOPIDOGREL G.I SE GRAG 75 MG 14;CLOPIDOGREL;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;ULTRA LABORATORIOS;CLOPIDOGREL GI UTL;2014-03-01;CLOPIDOGREL GI UTL TABL 75 MG 2X1 14;CLOPIDOGREL;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SANOFI CORP;CLOPIDOGREL G.I WI;2009-10-01;CLOPIDOGREL G.I WI TABL 75 MG 28;CLOPIDOGREL;2015-04-01;2015-08-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;SANOFI CORP;CLOPIDOGREL G.I WI;2009-10-01;CLOPIDOGREL G.I WI TABL 75 MG 28;CLOPIDOGREL;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;ULTRA LABORATORIOS;CLOPIDOGREL GI UTL;2012-01-01;CLOPIDOGREL GI UTL TABL 75 MG 28;CLOPIDOGREL;2015-04-01;2015-08-01;lanzamiento
BAJA;B01C  INHIB AGREGACION PLAQUET;ULTRA LABORATORIOS;CLOPIDOGREL GI UTL;2012-01-01;CLOPIDOGREL GI UTL TABL 75 MG 28;CLOPIDOGREL;2016-04-01;2016-08-01;lanzamiento
ALTA;B01C  INHIB AGREGACION PLAQUET;PISA;CLOPIDOGREL GI PIS;2015-02-01;CLOPIDOGREL GI PIS TABL 75 MG 28;CLOPIDOGREL;2015-12-01;2016-04-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;ASOFARMA;CLAUTER;2013-08-01;CLAUTER TABL 50 MG 30;CILOSTAZOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;SENOSIAIN;FLUCOGREL;2012-02-01;FLUCOGREL TABL 75 MG 14;CLOPIDOGREL;2014-08-01;2014-12-01;lanzamiento
ALTA;B01C  INHIB AGREGACION PLAQUET;SENOSIAIN;FLUCOGREL;2012-02-01;FLUCOGREL TABL 75 MG 14;CLOPIDOGREL;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;SENOSIAIN;FLUCOGREL;2012-02-01;FLUCOGREL TABL 75 MG 14;CLOPIDOGREL;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;BOEHRINGER ING.CO;AGGRENOX;2007-10-01;AGGRENOX CAPS 200 MG /25 60;ACIDO ACETILSALICILICO + DIPIRIDAMOL;2014-04-01;2014-08-01;lanzamiento
ALTA;B01C  INHIB AGREGACION PLAQUET;BOEHRINGER ING.CO;AGGRENOX;2007-10-01;AGGRENOX CAPS 200 MG /25 60;ACIDO ACETILSALICILICO + DIPIRIDAMOL;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;BOEHRINGER ING.CO;AGGRENOX;2007-10-01;AGGRENOX CAPS 200 MG /25 60;ACIDO ACETILSALICILICO + DIPIRIDAMOL;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;BOEHRINGER ING.CO;AGGRENOX;2007-10-01;AGGRENOX CAPS 200 MG /25 60;ACIDO ACETILSALICILICO + DIPIRIDAMOL;2015-04-01;2015-08-01;lanzamiento
ALTA;B01C  INHIB AGREGACION PLAQUET;BOEHRINGER ING.CO;AGGRENOX;2007-10-01;AGGRENOX CAPS 200 MG /25 60;ACIDO ACETILSALICILICO + DIPIRIDAMOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;BOEHRINGER ING.CO;AGGRENOX;2007-10-01;AGGRENOX CAPS 200 MG /25 60;ACIDO ACETILSALICILICO + DIPIRIDAMOL;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;BOEHRINGER ING.CO;AGGRENOX;2007-10-01;AGGRENOX CAPS 200 MG /25 60;ACIDO ACETILSALICILICO + DIPIRIDAMOL;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;ULTRA LABORATORIOS;AC.ACETILSAL GI UL;2013-02-01;AC.ACETILSAL GI UL TABL 100 MG 30;ACIDO ACETILSALICILICO;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;B01C  INHIB AGREGACION PLAQUET;MICRO PHARMACEUTICALS;GRENPHARMA;2013-11-01;GRENPHARMA TABL 75 MG 28;CLOPIDOGREL;2015-04-01;2015-08-01;lanzamiento
ALTA;B01C  INHIB AGREGACION PLAQUET;MICRO PHARMACEUTICALS;GRENPHARMA;2013-11-01;GRENPHARMA TABL 75 MG 28;CLOPIDOGREL;2017-04-01;2017-08-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;MICRO PHARMACEUTICALS;GRENPHARMA;2013-11-01;GRENPHARMA TABL 75 MG 28;CLOPIDOGREL;2017-08-01;2017-12-01;BAJA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;NOVAG INFANCIA, S.A. DE C.V.;CLOPIDOGREL G.I NO;2012-03-01;CLOPIDOGREL G.I NO TABL 75 MG 14;CLOPIDOGREL;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;NOVAG INFANCIA, S.A. DE C.V.;CLOPIDOGREL G.I NO;2012-03-01;CLOPIDOGREL G.I NO TABL 75 MG 14;CLOPIDOGREL;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;B01C  INHIB AGREGACION PLAQUET;NOVAG INFANCIA, S.A. DE C.V.;CLOPIDOGREL G.I NO;2012-03-01;CLOPIDOGREL G.I NO TABL 75 MG 14;CLOPIDOGREL;2016-08-01;2016-12-01;ALTA, por demanda
