ALTA;C01E  NITRITOS Y NITRATOS;ABBOTT;CARDINIT;1988-03-01;CARDINIT PARCHE 5 MG 7;NITROGLICERINA;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;C01E  NITRITOS Y NITRATOS;ABBOTT;CARDINIT;1988-03-01;CARDINIT PARCHE 5 MG 7;NITROGLICERINA;2016-08-01;2016-12-01;BAJA, por demanda
BAJA;C01E  NITRITOS Y NITRATOS;NOVAG INFANCIA, S.A. DE C.V.;ISOSORBID DI G.I N;2009-10-01;ISOSORBID DI G.I N TABL 5 MG 20;ISOSORBIDA;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;C01E  NITRITOS Y NITRATOS;NOVAG INFANCIA, S.A. DE C.V.;ISOSORBID DI G.I N;2009-10-01;ISOSORBID DI G.I N TABL 5 MG 20;ISOSORBIDA;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;C01E  NITRITOS Y NITRATOS;ARMSTRONG;MONOMACK;1994-09-01;MONOMACK TABL 40 MG 20;ISOSORBIDA;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;C01E  NITRITOS Y NITRATOS;ABBOTT;CARDINIT;1988-03-01;CARDINIT PARCHE 10 MG 7;NITROGLICERINA;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;C01E  NITRITOS Y NITRATOS;ABBOTT;CARDINIT;1988-03-01;CARDINIT PARCHE 10 MG 7;NITROGLICERINA;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;C01E  NITRITOS Y NITRATOS;ARMSTRONG;MONOCORAT;2005-10-01;MONOCORAT TABL 20 MG 20;ISOSORBIDA;2014-08-01;2014-12-01;BAJA, por demanda
ALTA;C01E  NITRITOS Y NITRATOS;ARMSTRONG;MONOCORAT;2005-10-01;MONOCORAT TABL 20 MG 20;ISOSORBIDA;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;C01E  NITRITOS Y NITRATOS;ABBOTT;ISOKET;1994-04-01;ISOKET AERO DOSIS 250 MG 300 18.8 ML;ISOSORBIDA;2014-12-01;2015-04-01;ALTA, por demanda
