BAJA;C08A  ANTAG DEL CALCIO SOLOS;PFIZER CORPORATION;NORVAS;1996-03-01;NORVAS TABL 5 MG 30;AMLODIPINO;2015-04-01;2015-08-01;lanzamiento
ALTA;C08A  ANTAG DEL CALCIO SOLOS;SBL PHARMACEUTICAL;SBL-CAR;2009-08-01;SBL-CAR TABL 5 MG 10;AMLODIPINO;2014-04-01;2014-08-01;BAJA, por demanda
BAJA;C08A  ANTAG DEL CALCIO SOLOS;SBL PHARMACEUTICAL;SBL-CAR;2009-08-01;SBL-CAR TABL 5 MG 10;AMLODIPINO;2016-04-01;2016-08-01;lanzamiento
ALTA;C08A  ANTAG DEL CALCIO SOLOS;NAFAR LABORATORIOS SA DE CV;AMLODIPINO GI NAF;2016-01-01;AMLODIPINO GI NAFA TABL 5 MG 30;AMLODIPINO;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;C08A  ANTAG DEL CALCIO SOLOS;NAFAR LABORATORIOS SA DE CV;AMLODIPINO GI NAF;2016-01-01;AMLODIPINO GI NAFA TABL 5 MG 30;AMLODIPINO;2016-12-01;2017-04-01;lanzamiento
ALTA;C08A  ANTAG DEL CALCIO SOLOS;NAFAR LABORATORIOS SA DE CV;AMLODIPINO GI NAF;2016-01-01;AMLODIPINO GI NAFA TABL 5 MG 30;AMLODIPINO;2017-04-01;2017-08-01;BAJA, por demanda
ALTA;C08A  ANTAG DEL CALCIO SOLOS;ABBOTT;DILACORAN;2003-06-01;DILACORAN TABL 40 MG 30;VERAPAMILO;2014-04-01;2014-08-01;BAJA, por demanda
BAJA;C08A  ANTAG DEL CALCIO SOLOS;ABBOTT;DILACORAN;2003-06-01;DILACORAN TABL 40 MG 30;VERAPAMILO;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;C08A  ANTAG DEL CALCIO SOLOS;ABBOTT;DILACORAN;2003-06-01;DILACORAN TABL 40 MG 30;VERAPAMILO;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;C08A  ANTAG DEL CALCIO SOLOS;BIOMEP S.A. DE C.V.;AMLODIPINO G.I BIO;2011-10-01;AMLODIPINO G.I BIO TABL 5 MG 30;AMLODIPINO;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;C08A  ANTAG DEL CALCIO SOLOS;BIOMEP S.A. DE C.V.;AMLODIPINO G.I BIO;2011-10-01;AMLODIPINO G.I BIO TABL 5 MG 30;AMLODIPINO;2017-08-01;2017-12-01;ALTA, por demanda
