ALTA;D03A  AGENTES CURATIVOS-HERIDA;B. BRAUN AESCULAP DE MEXICO S.;LINOVERA;2017-06-01;LINOVERA EMULSION 30 ML;ALOE VERA + CENTELLA ASIATICA + GINKGO BILOBA + ROMERO;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;MEDA PHARMA S DE RL;KAMILLOSAN;1995-03-01;KAMILLOSAN CREMA 20 G;MATRICARIA CHAMOMILLA;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEDA PHARMA S DE RL;KAMILLOSAN;1995-03-01;KAMILLOSAN CREMA 20 G;MATRICARIA CHAMOMILLA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;MEDA PHARMA S DE RL;KAMILLOSAN;1995-03-01;KAMILLOSAN CREMA 20 G;MATRICARIA CHAMOMILLA;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2003-08-01;HIPOGLOS CREMOSO TBO 45 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2014-12-01;2015-04-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2003-08-01;HIPOGLOS CREMOSO TBO 45 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2003-08-01;HIPOGLOS CREMOSO TBO 45 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2003-08-01;HIPOGLOS CREMOSO TBO 45 G;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2004-06-01;BEPANTHEN POMADA PROTE 5 % CONT ROZAD 30 G;DEXPANTENOL;2016-04-01;2016-08-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2004-06-01;BEPANTHEN POMADA PROTE 5 % CONT ROZAD 30 G;DEXPANTENOL;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;BAYER CORP.;BEPANTHEN;2004-06-01;BEPANTHEN POMADA PROTE 5 % CONT ROZAD 30 G;DEXPANTENOL;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;MEDIMPEX;CURIOSIN;2004-11-01;CURIOSIN GEL TBO 15 G;ACIDO HIALURONICO;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ITALMEX;ITALDERMOL;2001-04-01;ITALDERMOL CRA + 3 GASA 12 G;TRITICUM VULGARE;2014-12-01;2015-04-01;lanzamiento
BAJA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS F;2012-05-01;HIPOGLOS F CRA 110 G+33 %;ALANTOINA + OXIDO DE ZINC + RETINOL;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;NESTLE CO;RESTYLANE VITAL;2013-04-01;RESTYLANE VITAL JGA PRELL 1 ML;ACIDO HIALURONICO;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ASPID;FIBROQUEL;2005-11-01;FIBROQUEL ESPONJA 80X 120 MM;COLAGENO;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ASPID;FIBROQUEL;2005-11-01;FIBROQUEL ESPONJA 80X 120 MM;COLAGENO;2016-04-01;2016-08-01;ALTA, por demanda
ALTA;D03A  AGENTES CURATIVOS-HERIDA;ANDROMACO;HIPOGLOS CREMOSO;2016-06-01;HIPOGLOS CREMOSO TBO 45G+PLUS +CRA 3PZAS;ALFATOCOFEROL + OXIDO DE ZINC + RETINOL;2016-04-01;2016-08-01;ALTA, por demanda
