BAJA;D10A  PROD.ANTI-ACNE TOPICOS;GRISI CORP.;AZUFRE;2007-04-01;AZUFRE JBN C/LANOLI 100 G;AZUFRE + LANOLINA;2016-12-01;2017-04-01;lanzamiento
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;GRISI CORP.;AZUFRE;2007-04-01;AZUFRE JBN C/LANOLI 100 G;AZUFRE + LANOLINA;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;STIEFEL;CLIDETS;2001-07-01;CLIDETS SOLN TOP 1 % 50 ML;CLINDAMICINA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;STIEFEL;CLIDETS;2001-07-01;CLIDETS SOLN TOP 1 % 50 ML;CLINDAMICINA;2016-04-01;2016-08-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;STIEFEL;CLIDETS;2001-07-01;CLIDETS SOLN TOP 1 % 50 ML;CLINDAMICINA;2018-04-01;2018-08-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;NESTLE CO;RETACNYL;1995-11-01;RETACNYL CREMA .05 % 30 G;TRETINOINA;2015-08-01;2015-12-01;lanzamiento
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;NESTLE CO;RETACNYL;1995-11-01;RETACNYL CREMA .05 % 30 G;TRETINOINA;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;GRISI CORP.;OXY-10;1990-06-01;OXY-10 EMUL TRANSP. 10 % 30 ML;PEROXIDO DE BENZOILO;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;GRISI CORP.;OXY-10;1990-06-01;OXY-10 EMUL TRANSP. 10 % 30 ML;PEROXIDO DE BENZOILO;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;GRISI CORP.;OXY-10;1990-06-01;OXY-10 EMUL TRANSP. 10 % 30 ML;PEROXIDO DE BENZOILO;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;STIEFEL;SOLUGEL;1997-03-01;SOLUGEL GEL ACUO TOP 4 % 40 G;PEROXIDO DE BENZOILO;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;GRISI CORP.;OXY-5;1990-06-01;OXY-5 EMUL C.PIEL 5 % 30 ML;PEROXIDO DE BENZOILO;2016-04-01;2016-08-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;LOEFFLER;EPITREL;2006-07-01;EPITREL CREMA 0.05 G 40 G;TRETINOINA;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;FARMAPIEL;YUNNECO;2016-06-01;YUNNECO GEL 0.1 % 30 G;ADAPALENO;2018-04-01;2018-08-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;FARMAPIEL;YUNNECO;2016-06-01;YUNNECO GEL 0.1 % 30 G;ADAPALENO;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;PROCTER&GAMBLE COR;CLEARASIL;2010-04-01;CLEARASIL JBN P/SENSIB 90 G;PEROXIDO DE BENZOILO;2015-08-01;2015-12-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;GRISI CORP.;OXY CLEAN;2011-04-01;OXY CLEAN LAMINIL ANTI BRIL 50;ACIDO ACETILSALICILICO;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;GRISI CORP.;OXY CLEAN;2011-04-01;OXY CLEAN LAMINIL ANTI BRIL 50;ACIDO ACETILSALICILICO;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;GLENMARK PHARMACEUTIC MEXICO S;MICROPAL-CM;2014-10-01;MICROPAL-CM GEL 30 G;ADAPALENO + CLINDAMICINA;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;GLENMARK PHARMACEUTIC MEXICO S;MICROPAL-CM;2014-10-01;MICROPAL-CM GEL 30 G;ADAPALENO + CLINDAMICINA;2016-12-01;2017-04-01;lanzamiento
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;GLENMARK PHARMACEUTIC MEXICO S;MICROPAL-CM;2014-10-01;MICROPAL-CM GEL 30 G;ADAPALENO + CLINDAMICINA;2018-04-01;2018-08-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;NESTLE CO;EFFEZEL;2012-06-01;EFFEZEL GEL 0.1/ G /2.5 /100 30 G;ADAPALENO + PEROXIDO DE BENZOILO;2014-04-01;2014-08-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;NESTLE CO;EFFEZEL;2012-06-01;EFFEZEL GEL 0.1/ G /2.5 /100 30 G;ADAPALENO + PEROXIDO DE BENZOILO;2015-04-01;2015-08-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;NESTLE CO;EFFEZEL;2012-06-01;EFFEZEL GEL 0.1/ G /2.5 /100 30 G;ADAPALENO + PEROXIDO DE BENZOILO;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;NESTLE CO;EFFEZEL;2012-06-01;EFFEZEL GEL 0.1/ G /2.5 /100 30 G;ADAPALENO + PEROXIDO DE BENZOILO;2016-12-01;2017-04-01;lanzamiento
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;NESTLE CO;EFFEZEL;2012-06-01;EFFEZEL GEL 0.1/ G /2.5 /100 30 G;ADAPALENO + PEROXIDO DE BENZOILO;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;NESTLE CO;EFFEZEL;2012-06-01;EFFEZEL GEL 0.1/ G /2.5 /100 30 G;ADAPALENO + PEROXIDO DE BENZOILO;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;GRUPO FARMACEUTICO SOMAR;LENEDA;2010-02-01;LENEDA GEL 0.1 % 30 G;ADAPALENO;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;GRUPO FARMACEUTICO SOMAR;LENEDA;2010-02-01;LENEDA GEL 0.1 % 30 G;ADAPALENO;2016-04-01;2016-08-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;GRUPO FARMACEUTICO SOMAR;LENEDA;2010-02-01;LENEDA GEL 0.1 % 30 G;ADAPALENO;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;GRUPO FARMACEUTICO SOMAR;LENEDA;2010-02-01;LENEDA GEL 0.1 % 30 G;ADAPALENO;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;NESTLE CO;SANSACNE;2000-02-01;SANSACNE SOLN 4 % 100 ML;ERITROMICINA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;BIORESEARCH;BIOVITOL-C;2012-08-01;BIOVITOL-C CREMA 20 G;TRETINOINA;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;BIORESEARCH;BIOVITOL-C;2012-08-01;BIOVITOL-C CREMA 20 G;TRETINOINA;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;JOHNSON+JOHNSON CO;RETIN-A;2000-04-01;RETIN-A CREMA .10 % 40 G;TRETINOINA;2015-08-01;2015-12-01;BAJA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;JOHNSON+JOHNSON CO;RETIN-A;2000-04-01;RETIN-A CREMA .10 % 40 G;TRETINOINA;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;JOHNSON+JOHNSON CO;RETIN-A;2000-04-01;RETIN-A CREMA .10 % 40 G;TRETINOINA;2017-04-01;2017-08-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;JOHNSON+JOHNSON CO;RETIN-A;2000-04-01;RETIN-A CREMA .10 % 40 G;TRETINOINA;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;JOHNSON+JOHNSON CO;RETIN-A;2000-04-01;RETIN-A CREMA .10 % 40 G;TRETINOINA;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;EUROMEX,LABS.;DALATINA;2005-07-01;DALATINA GEL 30 G;CLINDAMICINA;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;EUROMEX,LABS.;DALATINA;2005-07-01;DALATINA GEL 30 G;CLINDAMICINA;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;D10A  PROD.ANTI-ACNE TOPICOS;BAUSCH HEALTH;CUTACLIN;1996-09-01;CUTACLIN GEL TUBO 1 % 30 G;CLINDAMICINA;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;BAUSCH HEALTH;CUTACLIN;1996-09-01;CUTACLIN GEL TUBO 1 % 30 G;CLINDAMICINA;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;D10A  PROD.ANTI-ACNE TOPICOS;GRISI CORP.;AXEL;1999-07-01;AXEL CREMA TOP. 20 G;AZUFRE + RESORCINOL + TRICLOSAN;2014-12-01;2015-04-01;BAJA, por demanda
