ALTA;G02X  OTR PROD GINECOLOGICOS;ITALMEX;LACTIFLORA FEM;2012-05-01;LACTIFLORA FEM CAPS VAGINAL 6;LACTOBACILOS ACIDOFILOS + LACTOBACILOS DODERLEIN + STREPTOCOCCUS THERMOPHILUS;2014-08-01;2014-12-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;ITALMEX;LACTIFLORA FEM;2012-05-01;LACTIFLORA FEM CAPS VAGINAL 6;LACTOBACILOS ACIDOFILOS + LACTOBACILOS DODERLEIN + STREPTOCOCCUS THERMOPHILUS;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;CORNE, S.A. DE C.V.;BIOFLOGYN;2018-01-01;BIOFLOGYN CAPS 28;LACTOBACILOS ACIDOFILOS;2018-08-01;2018-12-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;ITALMEX;ITALDERMOL;1995-05-01;ITALDERMOL OVULOS 6;FENOXIETANOL + TRITICUM VULGARE;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;ITALMEX;ITALDERMOL;1995-05-01;ITALDERMOL OVULOS 6;FENOXIETANOL + TRITICUM VULGARE;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;LIOMONT, CORPORATION;ANALGEN COLICO FOR;2006-08-01;ANALGEN COLICO FOR TABL 12;NAPROXENO + PARACETAMOL;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;LIOMONT, CORPORATION;ANALGEN COLICO FOR;2006-08-01;ANALGEN COLICO FOR TABL 12;NAPROXENO + PARACETAMOL;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;LIOMONT, CORPORATION;ANALGEN COLICO FOR;2006-08-01;ANALGEN COLICO FOR TABL 12;NAPROXENO + PARACETAMOL;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;LIOMONT, CORPORATION;ANALGEN COLICO FOR;2006-08-01;ANALGEN COLICO FOR TABL 12;NAPROXENO + PARACETAMOL;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL TEEN;2003-07-01;SYNCOL TEEN TABL 500 MG /25M 12;PAMABRON + PARACETAMOL;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL TEEN;2003-07-01;SYNCOL TEEN TABL 500 MG /25M 12;PAMABRON + PARACETAMOL;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL TEEN;2003-07-01;SYNCOL TEEN TABL 500 MG /25M 12;PAMABRON + PARACETAMOL;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL TEEN;2003-07-01;SYNCOL TEEN TABL 500 MG /25M 12;PAMABRON + PARACETAMOL;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;ARMSTRONG;FEMIPRIM;2006-10-01;FEMIPRIM TAB VAG 6;ACIDO ASCORBICO;2015-04-01;2015-08-01;ALTA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;CHURCH & DWIGTH;REPLENS;2007-03-01;REPLENS GEL VAG HUME 6APL 5.9 GR;AGUA PURIFICADA + GLICEROL + POLICARBOFILO;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;CHURCH & DWIGTH;REPLENS;2007-03-01;REPLENS GEL VAG HUME 6APL 5.9 GR;AGUA PURIFICADA + GLICEROL + POLICARBOFILO;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;BAUSCH HEALTH;VANTAL VAGINAL;1992-05-01;VANTAL VAGINAL SOLN  VAG. 5 % 50 ML;BENCIDAMINA;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL;2005-10-01;SYNCOL TABL 8;MEPIRAMINA + PAMABRON + PARACETAMOL;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;LIOMONT, CORPORATION;ANALGEN;2000-04-01;ANALGEN TABL C/MENST 220 MG 10;NAPROXENO + PARACETAMOL;2017-04-01;2017-08-01;ALTA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;COMBE DE MEXICO;BENZAL;2005-05-01;BENZAL GEL LUBR VAG 30 G;CLORURO DE BENZALCONIO;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;COMBE DE MEXICO;BENZAL;2005-05-01;BENZAL GEL LUBR VAG 30 G;CLORURO DE BENZALCONIO;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;COMBE DE MEXICO;BENZAL;2007-04-01;BENZAL GEL LUB SUAV CALI 30 G;CLORURO DE BENZALCONIO;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;COMBE DE MEXICO;BENZAL;2007-04-01;BENZAL GEL LUB SUAV CALI 30 G;CLORURO DE BENZALCONIO;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;COMBE DE MEXICO;BENZAL;2007-04-01;BENZAL GEL LUB SUAV CALI 30 G;CLORURO DE BENZALCONIO;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;COMBE DE MEXICO;BENZAL;2007-04-01;BENZAL GEL LUB SUAV CALI 30 G;CLORURO DE BENZALCONIO;2016-04-01;2016-08-01;ALTA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;COMBE DE MEXICO;BENZAL;2007-04-01;BENZAL GEL LUB SUAV CALI 30 G;CLORURO DE BENZALCONIO;2017-04-01;2017-08-01;ALTA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL;2013-06-01;SYNCOL TABL 12+ SYNCO NOCT 12;MEPIRAMINA + PAMABRON + PARACETAMOL;2014-08-01;2014-12-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL;2013-06-01;SYNCOL TABL 12+ SYNCO NOCT 12;MEPIRAMINA + PAMABRON + PARACETAMOL;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL;2013-06-01;SYNCOL TABL 12+ SYNCO NOCT 12;MEPIRAMINA + PAMABRON + PARACETAMOL;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL;2013-06-01;SYNCOL TABL 12+ SYNCO NOCT 12;MEPIRAMINA + PAMABRON + PARACETAMOL;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL;2013-06-01;SYNCOL TABL 12+ SYNCO NOCT 12;MEPIRAMINA + PAMABRON + PARACETAMOL;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;CARNOT;ACLIMAFEL;1998-05-01;ACLIMAFEL CAPS 100 MG 20;VERALIPRIDA;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;CARNOT;ACLIMAFEL;1998-05-01;ACLIMAFEL CAPS 100 MG 20;VERALIPRIDA;2016-04-01;2016-08-01;ALTA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;FARMAPIEL;VAGIGEL;2008-06-01;VAGIGEL GEL HIDRA VA MONO DOSIS 7 5 ML;ISOFLAVONAS;2014-08-01;2014-12-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;FARMAPIEL;VAGIGEL;2008-06-01;VAGIGEL GEL HIDRA VA MONO DOSIS 7 5 ML;ISOFLAVONAS;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;FARMAPIEL;VAGIGEL;2008-06-01;VAGIGEL GEL HIDRA VA MONO DOSIS 7 5 ML;ISOFLAVONAS;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;QUIFA PERRIGO;PAMAB/PIRIL G.I QY;2000-05-01;PAMAB/PIRIL G.I QY TABL 24;MEPIRAMINA + PAMABRON;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;G02X  OTR PROD GINECOLOGICOS;TEVA CORPORACION;PREVEFEM COMPLEX;2005-08-01;PREVEFEM COMPLEX TABL 30;ALFATOCOFEROL + GLYCINE MAX + SACARATO DE CALCIO;2015-04-01;2015-08-01;ALTA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL NOCTURNO;2008-07-01;SYNCOL NOCTURNO TABL 650 MG /25 12;DIFENHIDRAMINA + PARACETAMOL;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL NOCTURNO;2008-07-01;SYNCOL NOCTURNO TABL 650 MG /25 12;DIFENHIDRAMINA + PARACETAMOL;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;G02X  OTR PROD GINECOLOGICOS;SANFER CORP.;SYNCOL NOCTURNO;2008-07-01;SYNCOL NOCTURNO TABL 650 MG /25 12;DIFENHIDRAMINA + PARACETAMOL;2016-12-01;2017-04-01;BAJA, por demanda
