ALTA;G03A  HORMONAS ANTICONCEPT SIS;BAYER CORP.;MIRENA;2008-01-01;MIRENA DISPO INTRAU 1;LEVONORGESTREL;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;G03A  HORMONAS ANTICONCEPT SIS;BAYER CORP.;MIRENA;2008-01-01;MIRENA DISPO INTRAU 1;LEVONORGESTREL;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;G03A  HORMONAS ANTICONCEPT SIS;QUIFA PERRIGO;DESOG/ETINI G.I QY;2010-02-01;DESOG/ETINI G.I QY TABL 21;DESOGESTREL + ETINILESTRADIOL;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;G03A  HORMONAS ANTICONCEPT SIS;QUIFA PERRIGO;DESOG/ETINI G.I QY;2010-02-01;DESOG/ETINI G.I QY TABL 21;DESOGESTREL + ETINILESTRADIOL;2017-12-01;2018-04-01;lanzamiento
BAJA;G03A  HORMONAS ANTICONCEPT SIS;MERCK SHARP DOHME;MERCILON;1993-05-01;MERCILON TABL BLISTER 21;DESOGESTREL + ETINILESTRADIOL;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;G03A  HORMONAS ANTICONCEPT SIS;GRUPO FARMACEUTICO SOMAR;DROSPIR/ETINI GI S;2014-05-01;DROSPIR/ETINI GI S CPR 30 MC /3MG 28;DROSPIRENONA + ETINILESTRADIOL;2014-04-01;2014-08-01;BAJA, por demanda
BAJA;G03A  HORMONAS ANTICONCEPT SIS;GRUPO FARMACEUTICO SOMAR;DROSPIR/ETINI GI S;2014-05-01;DROSPIR/ETINI GI S CPR 30 MC /3MG 28;DROSPIRENONA + ETINILESTRADIOL;2015-04-01;2015-08-01;lanzamiento
BAJA;G03A  HORMONAS ANTICONCEPT SIS;GRUPO FARMACEUTICO SOMAR;DROSPIR/ETINI GI S;2014-05-01;DROSPIR/ETINI GI S CPR 30 MC /3MG 28;DROSPIRENONA + ETINILESTRADIOL;2015-12-01;2016-04-01;lanzamiento
BAJA;G03A  HORMONAS ANTICONCEPT SIS;BRULUART;MESLART;2014-02-01;MESLART AMP 50 MG /5 1 ML;ESTRADIOL + NORETISTERONA;2015-04-01;2015-08-01;lanzamiento
ALTA;G03A  HORMONAS ANTICONCEPT SIS;BRULUART;MESLART;2014-02-01;MESLART AMP 50 MG /5 1 ML;ESTRADIOL + NORETISTERONA;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;G03A  HORMONAS ANTICONCEPT SIS;BRULUART;MESLART;2014-02-01;MESLART AMP 50 MG /5 1 ML;ESTRADIOL + NORETISTERONA;2018-04-01;2018-08-01;lanzamiento
BAJA;G03A  HORMONAS ANTICONCEPT SIS;DNA PHARMACEUTICAL SA DE CV;POSTINOR 2;2004-05-01;POSTINOR 2 TABL 0.75 MG 2;LEVONORGESTREL;2014-04-01;2014-08-01;lanzamiento
BAJA;G03A  HORMONAS ANTICONCEPT SIS;DNA PHARMACEUTICAL SA DE CV;POSTINOR 2;2004-05-01;POSTINOR 2 TABL 0.75 MG 2;LEVONORGESTREL;2015-12-01;2016-04-01;lanzamiento
BAJA;G03A  HORMONAS ANTICONCEPT SIS;DNA PHARMACEUTICAL SA DE CV;POSTINOR 2;2004-05-01;POSTINOR 2 TABL 0.75 MG 2;LEVONORGESTREL;2018-04-01;2018-08-01;lanzamiento
BAJA;G03A  HORMONAS ANTICONCEPT SIS;CARNOT;CYCLOFEMINA;2005-10-01;CYCLOFEMINA JGA PREL UNI 0.5 ML;ESTRADIOL + MEDROXIPROGESTERONA;2014-04-01;2014-08-01;lanzamiento
ALTA;G03A  HORMONAS ANTICONCEPT SIS;DNA PHARMACEUTICAL SA DE CV;LEVONORGESTR G.I D;2009-10-01;LEVONORGESTR G.I D TABL 1.5 MG 1;LEVONORGESTREL;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;G03A  HORMONAS ANTICONCEPT SIS;DNA PHARMACEUTICAL SA DE CV;LEVONORGESTR G.I D;2009-10-01;LEVONORGESTR G.I D TABL 1.5 MG 1;LEVONORGESTREL;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;G03A  HORMONAS ANTICONCEPT SIS;DNA PHARMACEUTICAL SA DE CV;LEVONORGESTR G.I D;2009-10-01;LEVONORGESTR G.I D TABL 1.5 MG 1;LEVONORGESTREL;2018-04-01;2018-08-01;lanzamiento
