ALTA;G03D  PROGESTAG,EXCL G3A,G3F;ABBOTT;DUPHASTON;2006-08-01;DUPHASTON TABL 10 MG 20;DIDROGESTERONA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;ASOFARMA;GESLUTIN;2000-06-01;GESLUTIN PERLAS 100 MG 30;PROGESTERONA;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;ASOFARMA;GESLUTIN;2000-06-01;GESLUTIN PERLAS 100 MG 30;PROGESTERONA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;ASOFARMA;GESLUTIN;2000-06-01;GESLUTIN PERLAS 100 MG 30;PROGESTERONA;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;EXELTIS;GESTAGENO ELEA;2006-01-01;GESTAGENO ELEA CAPS 100 MG 30;HIDROXIPROGESTERONA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;EXELTIS;GESTAGENO ELEA;2010-06-01;GESTAGENO ELEA CAPS 400 MG 15;HIDROXIPROGESTERONA;2015-08-01;2015-12-01;BAJA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;EXELTIS;GESTAGENO ELEA;2010-06-01;GESTAGENO ELEA CAPS 400 MG 15;HIDROXIPROGESTERONA;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;EXELTIS;GESTAGENO ELEA;2010-06-01;GESTAGENO ELEA CAPS 400 MG 15;HIDROXIPROGESTERONA;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;CARNOT;PROSPHERE;2007-02-01;PROSPHERE AMP JGA PREL;PROGESTERONA;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;CARNOT;PROSPHERE;2007-02-01;PROSPHERE AMP JGA PREL;PROGESTERONA;2015-08-01;2015-12-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;CARNOT;PROSPHERE;2007-02-01;PROSPHERE AMP JGA PREL;PROGESTERONA;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;CARNOT;PROSPHERE;2007-02-01;PROSPHERE AMP JGA PREL;PROGESTERONA;2017-12-01;2018-04-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;CARNOT;PROSPHERE;2007-02-01;PROSPHERE AMP JGA PREL;PROGESTERONA;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;ASOFARMA;GESLUTIN;2005-06-01;GESLUTIN PERLAS 200 MG 15;PROGESTERONA;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;ASOFARMA;GESLUTIN;2005-06-01;GESLUTIN PERLAS 200 MG 15;PROGESTERONA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;SANFER CORP.;CUERPO AMARILL FTE;1989-09-01;CUERPO AMARILL FTE A.IM RETARD 50 MG 6 2 ML;PROGESTERONA;2014-04-01;2014-08-01;BAJA, por demanda
BAJA;G03D  PROGESTAG,EXCL G3A,G3F;SANFER CORP.;CUERPO AMARILL FTE;1989-09-01;CUERPO AMARILL FTE A.IM RETARD 50 MG 6 2 ML;PROGESTERONA;2017-04-01;2017-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;PREMASTAN;2004-01-01;PREMASTAN GEL TBO 80 G;PROGESTERONA;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;PREMASTAN;2004-01-01;PREMASTAN GEL TBO 80 G;PROGESTERONA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;G03D  PROGESTAG,EXCL G3A,G3F;BESINS HEALTHCARE MEXICO SA CV;PREMASTAN;2004-01-01;PREMASTAN GEL TBO 80 G;PROGESTERONA;2015-08-01;2015-12-01;BAJA, por demanda
