ALTA;G04C  HIPERTROFIA PROSTATICA B;PROBIOMED;JUMSLIM;2009-09-01;JUMSLIM CAPS LP 0.4 MG 20;TAMSULOSINA;2014-04-01;2014-08-01;BAJA, por demanda
BAJA;G04C  HIPERTROFIA PROSTATICA B;LAB. RAAM DE SAHUAYO S.A.;TERIURIN;2008-09-01;TERIURIN GRAG 5 MG 30;FINASTERIDA;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;G04C  HIPERTROFIA PROSTATICA B;SANOFI CORP;FINASTERIDA G.I ML;2013-04-01;FINASTERIDA G.I ML TABL 5 MG 30;FINASTERIDA;2014-04-01;2014-08-01;lanzamiento
BAJA;G04C  HIPERTROFIA PROSTATICA B;NAFAR LABORATORIOS SA DE CV;DISPROL;2009-10-01;DISPROL TABL 5 MG 30;FINASTERIDA;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;G04C  HIPERTROFIA PROSTATICA B;NAFAR LABORATORIOS SA DE CV;TAMABLAN;2010-12-01;TAMABLAN CAPS 0.4 MG 20;TAMSULOSINA;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;G04C  HIPERTROFIA PROSTATICA B;NAFAR LABORATORIOS SA DE CV;TAMABLAN;2010-12-01;TAMABLAN CAPS 0.4 MG 20;TAMSULOSINA;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;G04C  HIPERTROFIA PROSTATICA B;ABBOTT;HYTRIN;1990-02-01;HYTRIN TABL 2 MG 20;TERAZOSINA;2014-04-01;2014-08-01;lanzamiento
BAJA;G04C  HIPERTROFIA PROSTATICA B;ASOFARMA;TEALEP;2008-07-01;TEALEP CPR 5 MG 30;FINASTERIDA;2014-12-01;2015-04-01;lanzamiento
BAJA;G04C  HIPERTROFIA PROSTATICA B;ASOFARMA;TEALEP;2008-07-01;TEALEP CPR 5 MG 30;FINASTERIDA;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;G04C  HIPERTROFIA PROSTATICA B;ASOFARMA;TEALEP;2008-07-01;TEALEP CPR 5 MG 30;FINASTERIDA;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;G04C  HIPERTROFIA PROSTATICA B;ULTRA LABORATORIOS;TAMSULOSINA G.I UL;2008-02-01;TAMSULOSINA G.I UL CPR 0.4 MG 20;TAMSULOSINA;2014-12-01;2015-04-01;lanzamiento
ALTA;G04C  HIPERTROFIA PROSTATICA B;ULTRA LABORATORIOS;TAMSULOSINA G.I UL;2008-02-01;TAMSULOSINA G.I UL CPR 0.4 MG 20;TAMSULOSINA;2015-04-01;2015-08-01;ALTA, por demanda
BAJA;G04C  HIPERTROFIA PROSTATICA B;ULTRA LABORATORIOS;TAMSULOSINA G.I UL;2008-02-01;TAMSULOSINA G.I UL CPR 0.4 MG 20;TAMSULOSINA;2016-04-01;2016-08-01;BAJA, por demanda
