BAJA;J01B  CLORANFENICOL Y ASOC;LIFERPAL;LEBROCETIN;2007-05-01;LEBROCETIN SUSP 156. MG 60 ML;CLORANFENICOL;2014-08-01;2014-12-01;BAJA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;LIFERPAL;LEBROCETIN;2007-05-01;LEBROCETIN SUSP 156. MG 60 ML;CLORANFENICOL;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;J01B  CLORANFENICOL Y ASOC;LIFERPAL;LEBROCETIN;2007-05-01;LEBROCETIN SUSP 156. MG 60 ML;CLORANFENICOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;LIFERPAL;LEBROCETIN;2007-05-01;LEBROCETIN SUSP 156. MG 60 ML;CLORANFENICOL;2016-08-01;2016-12-01;BAJA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;PFIZER CORPORATION;CHLOROMYCETIN;1977-12-01;CHLOROMYCETIN CAPS 250 MG 16;CLORANFENICOL;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;PFIZER CORPORATION;QUEMICETINA;1977-08-01;QUEMICETINA JBE 65 ML;CLORANFENICOL;2014-08-01;2014-12-01;BAJA, por demanda
ALTA;J01B  CLORANFENICOL Y ASOC;PFIZER CORPORATION;QUEMICETINA;1977-08-01;QUEMICETINA JBE 65 ML;CLORANFENICOL;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;PFIZER CORPORATION;QUEMICETINA;1977-08-01;QUEMICETINA JBE 65 ML;CLORANFENICOL;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;BRULUART;WESTENICOL;2005-11-01;WESTENICOL CAPS 500 MG 20;CLORANFENICOL;2015-12-01;2016-04-01;BAJA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;BRULUART;WESTENICOL;2005-11-01;WESTENICOL CAPS 500 MG 20;CLORANFENICOL;2016-04-01;2016-08-01;BAJA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;GENOMA LAB INT;CLORANFENI GI MMN;2009-08-01;CLORANFENI GI MMN CAP 500 MG 20;CLORANFENICOL;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;J01B  CLORANFENICOL Y ASOC;LIFERPAL;LEBROCETIN;2003-07-01;LEBROCETIN CAPS 250 MG 12;CLORANFENICOL;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;J01B  CLORANFENICOL Y ASOC;LIFERPAL;LEBROCETIN;2003-07-01;LEBROCETIN CAPS 250 MG 12;CLORANFENICOL;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;J01B  CLORANFENICOL Y ASOC;LIFERPAL;LEBROCETIN;2003-07-01;LEBROCETIN CAPS 250 MG 12;CLORANFENICOL;2017-04-01;2017-08-01;ALTA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;LIFERPAL;LEBROCETIN;2003-07-01;LEBROCETIN CAPS 250 MG 12;CLORANFENICOL;2017-08-01;2017-12-01;BAJA, por demanda
ALTA;J01B  CLORANFENICOL Y ASOC;LIFERPAL;LEBROCETIN;2003-07-01;LEBROCETIN CAPS 250 MG 12;CLORANFENICOL;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;J01B  CLORANFENICOL Y ASOC;PFIZER CORPORATION;QUEMICETINA;1987-06-01;QUEMICETINA VIAL SUCC 1 G 5 ML;CLORANFENICOL;2014-08-01;2014-12-01;BAJA, por demanda
ALTA;J01B  CLORANFENICOL Y ASOC;QUIMICA SON S;NAXO;2003-12-01;NAXO AMP 1 G 5 ML;CLORANFENICOL;2015-12-01;2016-04-01;BAJA, por demanda
ALTA;J01B  CLORANFENICOL Y ASOC;QUIMICA SON S;NAXO;2003-12-01;NAXO AMP 1 G 5 ML;CLORANFENICOL;2016-04-01;2016-08-01;BAJA, por demanda
