ALTA;J01C  PENICILINAS AMPLIO ESPEC;PISA;AMPICILINA G.I PIS;2009-04-01;AMPICILINA G.I PIS SOL INY 1 G 1;AMPICILINA;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;J01C  PENICILINAS AMPLIO ESPEC;PISA;AMPICILINA G.I PIS;2009-04-01;AMPICILINA G.I PIS SOL INY 1 G 1;AMPICILINA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;J01C  PENICILINAS AMPLIO ESPEC;PISA;AMPICILINA G.I PIS;2009-04-01;AMPICILINA G.I PIS SOL INY 1 G 1;AMPICILINA;2017-12-01;2018-04-01;lanzamiento
BAJA;J01C  PENICILINAS AMPLIO ESPEC;PISA;AMPICILINA G.I PIS;2009-04-01;AMPICILINA G.I PIS SOL INY 1 G 1;AMPICILINA;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;J01C  PENICILINAS AMPLIO ESPEC;ACCORD FARMA;CAXICUM;2014-03-01;CAXICUM TABL 500 MG /125 12;ACIDO CLAVULANICO + AMOXICILINA;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;J01C  PENICILINAS AMPLIO ESPEC;ACCORD FARMA;CAXICUM;2014-03-01;CAXICUM TABL 500 MG /125 12;ACIDO CLAVULANICO + AMOXICILINA;2017-08-01;2017-12-01;BAJA, por demanda
ALTA;J01C  PENICILINAS AMPLIO ESPEC;WANDEL LABS;VALCLAN;2008-05-01;VALCLAN TABL 12HR 875 MG /125 10;ACIDO CLAVULANICO + AMOXICILINA;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;J01C  PENICILINAS AMPLIO ESPEC;WANDEL LABS;VALCLAN;2008-05-01;VALCLAN TABL 12HR 875 MG /125 10;ACIDO CLAVULANICO + AMOXICILINA;2017-08-01;2017-12-01;lanzamiento
BAJA;J01C  PENICILINAS AMPLIO ESPEC;TEVA CORPORACION;SINAPLIN;2012-11-01;SINAPLIN CAPS 500 MG 20;AMPICILINA;2014-12-01;2015-04-01;lanzamiento
ALTA;J01C  PENICILINAS AMPLIO ESPEC;LABORATORIOS WILLMAR S.A.;AMPICEL;2013-01-01;AMPICEL CAPS 500 MG 100;AMBROXOL + AMOXICILINA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;J01C  PENICILINAS AMPLIO ESPEC;LABORATORIOS WILLMAR S.A.;AMPICEL;2013-01-01;AMPICEL CAPS 500 MG 100;AMBROXOL + AMOXICILINA;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;J01C  PENICILINAS AMPLIO ESPEC;QUIFA PERRIGO;AMOXICILINA G.I QY;2000-10-01;AMOXICILINA G.I QY CAPS 500 MG 12;AMOXICILINA;2014-04-01;2014-08-01;lanzamiento
ALTA;J01C  PENICILINAS AMPLIO ESPEC;QUIFA PERRIGO;AMOXICILINA G.I QY;2000-10-01;AMOXICILINA G.I QY CAPS 500 MG 12;AMOXICILINA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;J01C  PENICILINAS AMPLIO ESPEC;QUIFA PERRIGO;AMOXICILINA G.I QY;2000-10-01;AMOXICILINA G.I QY CAPS 500 MG 12;AMOXICILINA;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;J01C  PENICILINAS AMPLIO ESPEC;QUIFA PERRIGO;AMOXICILINA G.I QY;2000-10-01;AMOXICILINA G.I QY CAPS 500 MG 12;AMOXICILINA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;J01C  PENICILINAS AMPLIO ESPEC;QUIFA PERRIGO;AMOXICILINA G.I QY;2000-10-01;AMOXICILINA G.I QY CAPS 500 MG 12;AMOXICILINA;2017-12-01;2018-04-01;lanzamiento
BAJA;J01C  PENICILINAS AMPLIO ESPEC;QUIFA PERRIGO;AMOXICILINA G.I QY;2000-10-01;AMOXICILINA G.I QY CAPS 500 MG 12;AMOXICILINA;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;J01C  PENICILINAS AMPLIO ESPEC;SANFER CORP.;POLYMOX;2000-06-01;POLYMOX PO.P/SUS ORA 500 MG /5ML 100 ML;AMOXICILINA;2014-12-01;2015-04-01;lanzamiento
BAJA;J01C  PENICILINAS AMPLIO ESPEC;MAVER;CLAMOXIN 12H;2017-08-01;CLAMOXIN 12H TABL 875 MG /125 14;ACIDO CLAVULANICO + AMOXICILINA;2018-12-01;2019-04-01;BAJA, por demanda
