ALTA;J01E  ASOC TRIMETOPRIM Y SIMIL;DEGORTS;TRIMETO/SULF G.I D;2016-06-01;TRIMETO/SULF G.I D SUSP 0.8 G/ 4.0G 100 ML;SULFAMETOXAZOL + TRIMETOPRIMA;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;J01E  ASOC TRIMETOPRIM Y SIMIL;DEGORTS;TRIMETO/SULF G.I D;2016-06-01;TRIMETO/SULF G.I D SUSP 0.8 G/ 4.0G 100 ML;SULFAMETOXAZOL + TRIMETOPRIMA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;J01E  ASOC TRIMETOPRIM Y SIMIL;DEGORTS;TRIMETO/SULF G.I D;2016-06-01;TRIMETO/SULF G.I D SUSP 0.8 G/ 4.0G 100 ML;SULFAMETOXAZOL + TRIMETOPRIMA;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;J01E  ASOC TRIMETOPRIM Y SIMIL;NOVAG INFANCIA, S.A. DE C.V.;TRIMET/SULFA G.I N;2010-09-01;TRIMET/SULFA G.I N TABL 80 MG /400 20;SULFAMETOXAZOL + TRIMETOPRIMA;2014-08-01;2014-12-01;ALTA, por demanda
ALTA;J01E  ASOC TRIMETOPRIM Y SIMIL;NOVAG INFANCIA, S.A. DE C.V.;TRIMET/SULFA G.I N;2010-09-01;TRIMET/SULFA G.I N TABL 80 MG /400 20;SULFAMETOXAZOL + TRIMETOPRIMA;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;J01E  ASOC TRIMETOPRIM Y SIMIL;NOVAG INFANCIA, S.A. DE C.V.;TRIMET/SULFA G.I N;2010-09-01;TRIMET/SULFA G.I N TABL 80 MG /400 20;SULFAMETOXAZOL + TRIMETOPRIMA;2017-04-01;2017-08-01;ALTA, por demanda
ALTA;J01E  ASOC TRIMETOPRIM Y SIMIL;ITALMEX;ANITRIM;2009-04-01;ANITRIM SUSP ORA PED 120 ML;SULFAMETOXAZOL + TRIMETOPRIMA;2014-04-01;2014-08-01;ALTA, por demanda
BAJA;J01E  ASOC TRIMETOPRIM Y SIMIL;ITALMEX;ANITRIM;2009-04-01;ANITRIM SUSP ORA PED 120 ML;SULFAMETOXAZOL + TRIMETOPRIMA;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;J01E  ASOC TRIMETOPRIM Y SIMIL;ITALMEX;ANITRIM;2009-04-01;ANITRIM SUSP ORA PED 120 ML;SULFAMETOXAZOL + TRIMETOPRIMA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;J01E  ASOC TRIMETOPRIM Y SIMIL;ITALMEX;ANITRIM;2009-04-01;ANITRIM SUSP ORA PED 120 ML;SULFAMETOXAZOL + TRIMETOPRIMA;2016-04-01;2016-08-01;lanzamiento
