BAJA;J01H  PENIC.MEDIO YREDUC.ESPEC;GRUPO FARMACEUTICO SOMAR;PENPROCILINA;1900-12-01;PENPROCILINA VIAL+SOLVE. 400 K 2 ML;BENCILPENICILINA;2014-04-01;2014-08-01;BAJA, por demanda
BAJA;J01H  PENIC.MEDIO YREDUC.ESPEC;GRUPO FARMACEUTICO SOMAR;PENPROCILINA;1900-12-01;PENPROCILINA VIAL+SOLVE. 400 K 2 ML;BENCILPENICILINA;2016-04-01;2016-08-01;BAJA, por demanda
BAJA;J01H  PENIC.MEDIO YREDUC.ESPEC;GRUPO FARMACEUTICO SOMAR;PENPROCILINA;1900-12-01;PENPROCILINA VIAL+SOLVE. 400 K 2 ML;BENCILPENICILINA;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;J01H  PENIC.MEDIO YREDUC.ESPEC;GRUPO FARMACEUTICO SOMAR;PENPROCILINA;1900-12-01;PENPROCILINA VIAL+SOLVE. 400 K 2 ML;BENCILPENICILINA;2018-12-01;2019-04-01;BAJA, por demanda
BAJA;J01H  PENIC.MEDIO YREDUC.ESPEC;ANTIBIOTICOS DE MEXICO SA CV;BENZATI BENC G.I A;2005-11-01;BENZATI BENC G.I A AMP 1200 000 5 ML;BENCILPENICILINA;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;J01H  PENIC.MEDIO YREDUC.ESPEC;ANTIBIOTICOS DE MEXICO SA CV;BENCILPENIC G.I AM;1998-11-01;BENCILPENIC G.I AM VIAL 1000 IU;BENCILPENICILINA;2016-04-01;2016-08-01;BAJA, por demanda
BAJA;J01H  PENIC.MEDIO YREDUC.ESPEC;ANTIBIOTICOS DE MEXICO SA CV;BENCILPENIC G.I AM;1998-11-01;BENCILPENIC G.I AM VIAL 1000 IU;BENCILPENICILINA;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;J01H  PENIC.MEDIO YREDUC.ESPEC;ANTIBIOTICOS DE MEXICO SA CV;BENCILPENIC G.I AM;1998-11-01;BENCILPENIC G.I AM VIAL 1000 IU;BENCILPENICILINA;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;J01H  PENIC.MEDIO YREDUC.ESPEC;INFAN;PENIPOT;1989-10-01;PENIPOT V.IM SOLV 400 K 2 ML;BENCILPENICILINA;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;J01H  PENIC.MEDIO YREDUC.ESPEC;INFAN;PENIPOT;1989-10-01;PENIPOT V.IM SOLV 400 K 2 ML;BENCILPENICILINA;2015-08-01;2015-12-01;ALTA, por demanda
