ALTA;J01K  AMINOGLUCOSIDOS;ANTIBIOTICOS DE MEXICO SA CV;GENTAMICINA G.I AN;2008-06-01;GENTAMICINA G.I AN AMP 160 MG 2 ML;GENTAMICINA;2014-04-01;2014-08-01;BAJA, por demanda
ALTA;J01K  AMINOGLUCOSIDOS;ANTIBIOTICOS DE MEXICO SA CV;GENTAMICINA G.I AN;2008-06-01;GENTAMICINA G.I AN AMP 160 MG 2 ML;GENTAMICINA;2015-04-01;2015-08-01;ALTA, por demanda
BAJA;J01K  AMINOGLUCOSIDOS;ANTIBIOTICOS DE MEXICO SA CV;GENTAMICINA G.I AN;2008-06-01;GENTAMICINA G.I AN AMP 160 MG 2 ML;GENTAMICINA;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;J01K  AMINOGLUCOSIDOS;CARNOT;TOFIB;2012-08-01;TOFIB AMP 300 MG 56 5 ML;TOBRAMICINA;2017-08-01;2017-12-01;BAJA, por demanda
BAJA;J01K  AMINOGLUCOSIDOS;BRULUART;KARMIKIN;2005-11-01;KARMIKIN AMP 500 MG 5 2 ML;AMIKACINA;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;J01K  AMINOGLUCOSIDOS;ZAFIRO;GENTAMICINA GI ZAF;1999-11-01;GENTAMICINA GI ZAF AMP. 160 MG 5 2 ML;GENTAMICINA;2016-12-01;2017-04-01;ALTA, por demanda
BAJA;J01K  AMINOGLUCOSIDOS;ZAFIRO;GENTAMICINA GI ZAF;1999-11-01;GENTAMICINA GI ZAF AMP. 160 MG 5 2 ML;GENTAMICINA;2018-04-01;2018-08-01;BAJA, por demanda
BAJA;J01K  AMINOGLUCOSIDOS;SANFER CORP.;GARAMICINA;1988-11-01;GARAMICINA AMP. G.U 160 MG 5 2 ML;GENTAMICINA;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;J01K  AMINOGLUCOSIDOS;SANFER CORP.;GARAMICINA;1988-11-01;GARAMICINA AMP. G.U 160 MG 5 2 ML;GENTAMICINA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;J01K  AMINOGLUCOSIDOS;SANFER CORP.;GARAMICINA;1988-11-01;GARAMICINA AMP. G.U 160 MG 5 2 ML;GENTAMICINA;2017-08-01;2017-12-01;BAJA, por demanda
