BAJA;L01F  ANTINEOPLASICOS PLATINOS;TEVA CORPORACION;BLASTOLEM;2004-02-01;BLASTOLEM AMP PVO LIOF 50 MG;CISPLATINO;2015-08-01;2015-12-01;lanzamiento
ALTA;L01F  ANTINEOPLASICOS PLATINOS;TEVA CORPORACION;BLASTOLEM;2004-02-01;BLASTOLEM AMP PVO LIOF 50 MG;CISPLATINO;2016-04-01;2016-08-01;ALTA, por demanda
ALTA;L01F  ANTINEOPLASICOS PLATINOS;TEVA CORPORACION;BLASTOLEM;2004-02-01;BLASTOLEM AMP PVO LIOF 50 MG;CISPLATINO;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;L01F  ANTINEOPLASICOS PLATINOS;TEVA CORPORACION;BLASTOLEM-RU;2004-02-01;BLASTOLEM-RU AMP 50 MG 50 ML;CISPLATINO;2015-08-01;2015-12-01;BAJA, por demanda
ALTA;L01F  ANTINEOPLASICOS PLATINOS;TEVA CORPORACION;BLASTOLEM-RU;2004-02-01;BLASTOLEM-RU AMP 50 MG 50 ML;CISPLATINO;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;L01F  ANTINEOPLASICOS PLATINOS;TEVA CORPORACION;BLASTOLEM-RU;2004-02-01;BLASTOLEM-RU AMP 50 MG 50 ML;CISPLATINO;2017-12-01;2018-04-01;BAJA, por demanda
ALTA;L01F  ANTINEOPLASICOS PLATINOS;ZURICH PHARMA;ZURIDRY;2012-06-01;ZURIDRY AMP 10 MG 1;CISPLATINO;2016-12-01;2017-04-01;ALTA, por demanda
BAJA;L01F  ANTINEOPLASICOS PLATINOS;ZURICH PHARMA;ZURIDRY;2012-06-01;ZURIDRY AMP 10 MG 1;CISPLATINO;2018-08-01;2018-12-01;BAJA, por demanda
BAJA;L01F  ANTINEOPLASICOS PLATINOS;ZURICH PHARMA;ZURIDRY;2012-06-01;ZURIDRY AMP 10 MG 1;CISPLATINO;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;L01F  ANTINEOPLASICOS PLATINOS;PISA;ZOLAXAT;2006-01-01;ZOLAXAT FCO AMP 50 MG;OXALIPLATINO;2015-08-01;2015-12-01;BAJA, por demanda
BAJA;L01F  ANTINEOPLASICOS PLATINOS;ASOFARMA;CARBOPLAT;1993-08-01;CARBOPLAT VIAL  LIOF 450 MG 45 ML;CARBOPLATINO;2015-08-01;2015-12-01;lanzamiento
ALTA;L01F  ANTINEOPLASICOS PLATINOS;ACCORD FARMA;NUVAPLAST;2015-12-01;NUVAPLAST AMP 150 MG 1 15 ML;CARBOPLATINO;2018-08-01;2018-12-01;BAJA, por demanda
BAJA;L01F  ANTINEOPLASICOS PLATINOS;TEVA CORPORACION;BLASTOCARB;2010-09-01;BLASTOCARB AMP P/PREPAR 150 MG;CARBOPLATINO;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;L01F  ANTINEOPLASICOS PLATINOS;TEVA CORPORACION;BLASTOCARB;2010-09-01;BLASTOCARB AMP P/PREPAR 150 MG;CARBOPLATINO;2017-04-01;2017-08-01;ALTA, por demanda
