BAJA;M01C  AGENT ANTIREUMATIC ESPEC;ANTIBIOTICOS DE MEXICO SA CV;LEFLUNOMIDA G.I AN;2017-09-01;LEFLUNOMIDA G.I AN CPR 20 MG 30;LEFLUNOMIDA;2018-08-01;2018-12-01;lanzamiento
BAJA;M01C  AGENT ANTIREUMATIC ESPEC;SANOFI CORP;ARAVA;1999-08-01;ARAVA TABL REVEST 20 MG 30;LEFLUNOMIDA;2015-08-01;2015-12-01;lanzamiento
BAJA;M01C  AGENT ANTIREUMATIC ESPEC;SANOFI CORP;ARAVA;1999-08-01;ARAVA TABL REVEST 20 MG 30;LEFLUNOMIDA;2016-04-01;2016-08-01;lanzamiento
BAJA;M01C  AGENT ANTIREUMATIC ESPEC;SANOFI CORP;ARAVA;1999-08-01;ARAVA TABL REVEST 20 MG 30;LEFLUNOMIDA;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;ROCHE CORP.;ROACTEMRA;2016-03-01;ROACTEMRA JGA PRELL 180 MG 4;TOCILIZUMAB;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;ASOFARMA;FILARIN;2015-08-01;FILARIN CPR 100 MG 3;LEFLUNOMIDA;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;M01C  AGENT ANTIREUMATIC ESPEC;SANOFI CORP;ARAVA;1999-08-01;ARAVA TABL REVEST 100 MG 3;LEFLUNOMIDA;2016-12-01;2017-04-01;BAJA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;SANOFI CORP;ARAVA;1999-08-01;ARAVA TABL REVEST 100 MG 3;LEFLUNOMIDA;2018-08-01;2018-12-01;BAJA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;ROCHE CORP.;ROACTEMRA;2010-03-01;ROACTEMRA VIAL 200 MG 10 ML;TOCILIZUMAB;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;PISA;ALMURA;2015-05-01;ALMURA CPR 100 MG 3;LEFLUNOMIDA;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;PISA;ALMURA;2015-05-01;ALMURA CPR 20 MG 30;LEFLUNOMIDA;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;PISA;ALMURA;2015-05-01;ALMURA CPR 20 MG 30;LEFLUNOMIDA;2016-04-01;2016-08-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;PISA;ALMURA;2015-05-01;ALMURA CPR 20 MG 30;LEFLUNOMIDA;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;SIEGFRIED-MED;GALDIONE;2016-05-01;GALDIONE CPR 20 MG 30;LEFLUNOMIDA;2016-04-01;2016-08-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;SIEGFRIED-MED;GALDIONE;2016-05-01;GALDIONE CPR 20 MG 30;LEFLUNOMIDA;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;M01C  AGENT ANTIREUMATIC ESPEC;SIEGFRIED-MED;GALDIONE;2016-05-01;GALDIONE CPR 20 MG 30;LEFLUNOMIDA;2018-08-01;2018-12-01;lanzamiento
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;CORNE, S.A. DE C.V.;KORALIX;2018-09-01;KORALIX TABL 100 MG 3;LEFLUNOMIDA;2018-12-01;2019-04-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;ASOFARMA;FILARIN;2015-08-01;FILARIN CPR 20 MG 30;LEFLUNOMIDA;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;ASOFARMA;FILARIN;2015-08-01;FILARIN CPR 20 MG 30;LEFLUNOMIDA;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;CORNE, S.A. DE C.V.;KORALIX;2018-09-01;KORALIX TABL 20 MG 30;LEFLUNOMIDA;2018-12-01;2019-04-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;ULTRA LABORATORIOS;LEFLUNOMIDA G.I UL;2014-03-01;LEFLUNOMIDA G.I UL TABL 20 MG 30;LEFLUNOMIDA;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;ULTRA LABORATORIOS;LEFLUNOMIDA G.I UL;2014-03-01;LEFLUNOMIDA G.I UL TABL 20 MG 30;LEFLUNOMIDA;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;M01C  AGENT ANTIREUMATIC ESPEC;ULTRA LABORATORIOS;LEFLUNOMIDA G.I UL;2014-03-01;LEFLUNOMIDA G.I UL TABL 20 MG 30;LEFLUNOMIDA;2017-08-01;2017-12-01;ALTA, por demanda
