ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;MAVER;DULOXETINA G.I MAV;2015-10-01;DULOXETINA G.I MAV TABL 30 MG 7;DULOXETINA;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;MAVER;DULOXETINA G.I MAV;2015-10-01;DULOXETINA G.I MAV TABL 30 MG 7;DULOXETINA;2015-12-01;2016-04-01;ALTA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;LAB. RAAM DE SAHUAYO S.A.;NANDRESTO;2016-02-01;NANDRESTO TABL 10 MG 28;ESCITALOPRAM;2017-08-01;2017-12-01;ALTA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;ASOFARMA;COMENTER;2014-08-01;COMENTER TABL 15 MG 10;MIRTAZAPINA;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;N06A  ANTIDEPRESIVOS Y EQUILIB;PISA;PISAURIT;2008-07-01;PISAURIT CAPS 20 MG 14;FLUOXETINA;2018-08-01;2018-12-01;lanzamiento
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;DEGORTS;FLUOXETINA G.I DEG;2009-03-01;FLUOXETINA G.I DEG TABL 20 MG 28;FLUOXETINA;2014-08-01;2014-12-01;ALTA, por demanda
BAJA;N06A  ANTIDEPRESIVOS Y EQUILIB;DEGORTS;FLUOXETINA G.I DEG;2009-03-01;FLUOXETINA G.I DEG TABL 20 MG 28;FLUOXETINA;2014-12-01;2015-04-01;lanzamiento
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;COLLINS;PAROXETINA GI COL;2015-09-01;PAROXETINA GI COL TABL 20 MG 10;PAROXETINA;2016-08-01;2016-12-01;ALTA, por demanda
BAJA;N06A  ANTIDEPRESIVOS Y EQUILIB;COLLINS;PAROXETINA GI COL;2015-09-01;PAROXETINA GI COL TABL 20 MG 10;PAROXETINA;2016-12-01;2017-04-01;lanzamiento
BAJA;N06A  ANTIDEPRESIVOS Y EQUILIB;COLLINS;PAROXETINA GI COL;2015-09-01;PAROXETINA GI COL TABL 20 MG 10;PAROXETINA;2017-04-01;2017-08-01;lanzamiento
BAJA;N06A  ANTIDEPRESIVOS Y EQUILIB;BAJAMED;DEPTRAL;2003-07-01;DEPTRAL TABL 50 MG 14;SERTRALINA;2014-08-01;2014-12-01;lanzamiento
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;BAJAMED;DEPTRAL;2003-07-01;DEPTRAL TABL 50 MG 14;SERTRALINA;2014-12-01;2015-04-01;BAJA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;BAJAMED;DEPTRAL;2003-07-01;DEPTRAL TABL 50 MG 14;SERTRALINA;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;BAJAMED;DEPTRAL;2003-07-01;DEPTRAL TABL 50 MG 14;SERTRALINA;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;BECKMAN;VALDOXA;2010-11-01;VALDOXA TABL 25 MG 28;AGOMELATINA;2016-08-01;2016-12-01;ALTA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;BECKMAN;VALDOXA;2010-11-01;VALDOXA TABL 25 MG 28;AGOMELATINA;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;N06A  ANTIDEPRESIVOS Y EQUILIB;BECKMAN;VALDOXA;2010-11-01;VALDOXA TABL 25 MG 28;AGOMELATINA;2017-08-01;2017-12-01;lanzamiento
BAJA;N06A  ANTIDEPRESIVOS Y EQUILIB;BECKMAN;VALDOXA;2010-11-01;VALDOXA TABL 25 MG 28;AGOMELATINA;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;PISA;DULOXETINA GI PIS;2015-11-01;DULOXETINA GI PIS CAPS LIB RET 60 MG 28;DULOXETINA;2016-04-01;2016-08-01;BAJA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;MAVI;FLUOXETINA G.I MAV;2010-10-01;FLUOXETINA G.I MAV CAPS 20 MG 14;FLUOXETINA;2015-04-01;2015-08-01;ALTA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;MAVI;FLUOXETINA G.I MAV;2010-10-01;FLUOXETINA G.I MAV CAPS 20 MG 14;FLUOXETINA;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;N06A  ANTIDEPRESIVOS Y EQUILIB;MED.QUIM.BIO. LAB(BIOQUIMED);ODVEN 12HRS;2008-08-01;ODVEN 12HRS GRAG 75 MG 40;VENLAFAXINA;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;N06A  ANTIDEPRESIVOS Y EQUILIB;TEVA CORPORACION;SERTRALINA G.I INT;2012-04-01;SERTRALINA G.I INT CAPS 50 MG 14;SERTRALINA;2015-08-01;2015-12-01;ALTA, por demanda
