ALTA;R05B  ANTIGRIP/ANTITUS+A-INFEC;SANFER CORP.;AMOXI/BROMEX GI HO;2018-02-01;AMOXI/BROMEX GI HO CAPS 500 MG /8MG 12;AMOXICILINA + BROMHEXINA;2017-12-01;2018-04-01;BAJA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;SANFER CORP.;AMOXI/BROMEX GI HO;2018-02-01;AMOXI/BROMEX GI HO CAPS 500 MG /8MG 12;AMOXICILINA + BROMHEXINA;2018-12-01;2019-04-01;BAJA, por demanda
ALTA;R05B  ANTIGRIP/ANTITUS+A-INFEC;COLLINS;AMPIGRIN;1997-08-01;AMPIGRIN VIAL+SOLVE. 250 MG 3 ML;AMPICILINA + CLORFENAMINA + METAMIZOL SODICO;2015-08-01;2015-12-01;ALTA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;COLLINS;AMPIGRIN;1997-08-01;AMPIGRIN VIAL+SOLVE. 250 MG 3 ML;AMPICILINA + CLORFENAMINA + METAMIZOL SODICO;2016-04-01;2016-08-01;BAJA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;COLLINS;AMPIGRIN;1997-08-01;AMPIGRIN VIAL+SOLVE. 250 MG 3 ML;AMPICILINA + CLORFENAMINA + METAMIZOL SODICO;2017-12-01;2018-04-01;lanzamiento
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;I.Q.F.A.;LOEXOM FS;2006-04-01;LOEXOM FC TABL 14;AMBROXOL + AMOXICILINA;2014-08-01;2014-12-01;lanzamiento
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;I.Q.F.A.;LOEXOM FS;2006-04-01;LOEXOM FC TABL 14;AMBROXOL + AMOXICILINA;2015-12-01;2016-04-01;ALTA, por demanda
ALTA;R05B  ANTIGRIP/ANTITUS+A-INFEC;COLLINS;AMOXIC/AMBRO G.I C;2006-07-01;AMOXIC/AMBRO G.I C TABL 12;AMBROXOL + AMOXICILINA;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;R05B  ANTIGRIP/ANTITUS+A-INFEC;GIRARCAMPS APLIC.FARMACEUTICAS;BROMAXIN;2009-07-01;BROMAXIN AMP 500 MG 5 ML;AMPICILINA + BROMHEXINA;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;MAVER;CEFABROXIL;2005-11-01;CEFABROXIL SUSP 250 MG 75 ML;AMBROXOL + CEFALEXINA;2016-04-01;2016-08-01;BAJA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;MAVER;CEFABROXIL;2005-11-01;CEFABROXIL SUSP 250 MG 75 ML;AMBROXOL + CEFALEXINA;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;COLLINS;AMPIGRIN;2000-04-01;AMPIGRIN AMP A+B 500 MG ADLT 3 5 ML;AMPICILINA + CLORFENAMINA + METAMIZOL SODICO;2014-12-01;2015-04-01;BAJA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;COLLINS;AMPIGRIN;2000-04-01;AMPIGRIN AMP A+B 500 MG ADLT 3 5 ML;AMPICILINA + CLORFENAMINA + METAMIZOL SODICO;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;COLLINS;AMPIGRIN;2000-04-01;AMPIGRIN AMP A+B 500 MG ADLT 3 5 ML;AMPICILINA + CLORFENAMINA + METAMIZOL SODICO;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;COLLINS;AMPIGRIN;2000-04-01;AMPIGRIN AMP A+B 500 MG ADLT 3 5 ML;AMPICILINA + CLORFENAMINA + METAMIZOL SODICO;2017-12-01;2018-04-01;lanzamiento
ALTA;R05B  ANTIGRIP/ANTITUS+A-INFEC;SANFER CORP.;POLYMOX CIL;2017-06-01;POLYMOX CIL SUSP 250 MG 75 ML;AMOXICILINA + BROMHEXINA;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;R05B  ANTIGRIP/ANTITUS+A-INFEC;MAVER;CEPOBROM;2006-05-01;CEPOBROM CAPS 500 MG 12;BROMHEXINA + CEFALEXINA;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;R05B  ANTIGRIP/ANTITUS+A-INFEC;MAVER;CEPOBROM;2006-05-01;CEPOBROM CAPS 500 MG 12;BROMHEXINA + CEFALEXINA;2015-08-01;2015-12-01;ALTA, por demanda
ALTA;R05B  ANTIGRIP/ANTITUS+A-INFEC;MAVER;CEPOBROM;2006-05-01;CEPOBROM CAPS 500 MG 12;BROMHEXINA + CEFALEXINA;2016-12-01;2017-04-01;ALTA, por demanda
