BAJA;S01A  ANTIINFECCIOSOS OFTALMOL;CRYOPHARMA;SULNED;2004-03-01;SULNED GTS OFT 15 ML;GRAMICIDINA + NEOMICINA + POLIMIXINA B;2016-12-01;2017-04-01;BAJA, por demanda
BAJA;S01A  ANTIINFECCIOSOS OFTALMOL;CRYOPHARMA;SULNED;2004-03-01;SULNED GTS OFT 15 ML;GRAMICIDINA + NEOMICINA + POLIMIXINA B;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;S01A  ANTIINFECCIOSOS OFTALMOL;GRIN;OBRY;1999-10-01;OBRY UNGT  OFTAL .30 % 3 G;TOBRAMICINA;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;S01A  ANTIINFECCIOSOS OFTALMOL;COLLINS;CIPROFLOXACI G.I C;2011-07-01;CIPROFLOXACI G.I C SOL OFT 30 MG 3 ML;CIPROFLOXACINO;2015-08-01;2015-12-01;BAJA, por demanda
BAJA;S01A  ANTIINFECCIOSOS OFTALMOL;EXAKTA;BIRCEL;2007-02-01;BIRCEL SOL OFT 3 MG 15 ML;TOBRAMICINA;2014-04-01;2014-08-01;lanzamiento
ALTA;S01A  ANTIINFECCIOSOS OFTALMOL;EXAKTA;BIRCEL;2007-02-01;BIRCEL SOL OFT 3 MG 15 ML;TOBRAMICINA;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;S01A  ANTIINFECCIOSOS OFTALMOL;BAUSCH HEALTH;MARUNOL;2011-11-01;MARUNOL SOL OFT 3 MG /ML 5 ML;TOBRAMICINA;2014-04-01;2014-08-01;lanzamiento
ALTA;S01A  ANTIINFECCIOSOS OFTALMOL;EXAKTA;MISINEX;2007-06-01;MISINEX SOL OFTAL 5 ML;GENTAMICINA;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;S01A  ANTIINFECCIOSOS OFTALMOL;NOVARTIS CORP.;TOBREX;1984-07-01;TOBREX SOLN  OFTAL .30 % 5 ML;TOBRAMICINA;2014-04-01;2014-08-01;lanzamiento
ALTA;S01A  ANTIINFECCIOSOS OFTALMOL;NOVARTIS CORP.;TOBREX;1984-07-01;TOBREX SOLN  OFTAL .30 % 5 ML;TOBRAMICINA;2015-12-01;2016-04-01;ALTA, por demanda
BAJA;S01A  ANTIINFECCIOSOS OFTALMOL;NOVARTIS CORP.;TOBREX;1984-07-01;TOBREX SOLN  OFTAL .30 % 5 ML;TOBRAMICINA;2017-04-01;2017-08-01;BAJA, por demanda
BAJA;S01A  ANTIINFECCIOSOS OFTALMOL;NOVARTIS CORP.;TOBREX;1984-07-01;TOBREX SOLN  OFTAL .30 % 5 ML;TOBRAMICINA;2018-04-01;2018-08-01;BAJA, por demanda
ALTA;S01A  ANTIINFECCIOSOS OFTALMOL;NOVARTIS CORP.;TOBREX;1984-07-01;TOBREX SOLN  OFTAL .30 % 5 ML;TOBRAMICINA;2018-08-01;2018-12-01;ALTA, por demanda
BAJA;S01A  ANTIINFECCIOSOS OFTALMOL;SOPHIA;POLIXIN;1968-04-01;POLIXIN UNGT  OFTAL 3.50 G;BACITRACINA + NEOMICINA + POLIMIXINA B;2014-04-01;2014-08-01;lanzamiento
BAJA;S01A  ANTIINFECCIOSOS OFTALMOL;SOPHIA;POLIXIN;1968-04-01;POLIXIN UNGT  OFTAL 3.50 G;BACITRACINA + NEOMICINA + POLIMIXINA B;2015-04-01;2015-08-01;BAJA, por demanda
ALTA;S01A  ANTIINFECCIOSOS OFTALMOL;SOPHIA;POLIXIN;1968-04-01;POLIXIN UNGT  OFTAL 3.50 G;BACITRACINA + NEOMICINA + POLIMIXINA B;2016-04-01;2016-08-01;BAJA, por demanda
