ALTA;V06C  FORMULAS INFANTILES;ABBOTT;SIMILAC GAIN 2IQ P;2009-08-01;SIMILAC GAIN 2IQ P POLVO 900 G;ARA + DHA + OMEGA 3;2017-08-01;2017-12-01;ALTA, por demanda
BAJA;V06C  FORMULAS INFANTILES;MEAD JOHNSON NUTRICIONALES;ENFAMIL SOYA;1999-07-01;ENFAMIL SOYA POLVO 400 G;ARA + COLINA + DHA;2015-12-01;2016-04-01;lanzamiento
BAJA;V06C  FORMULAS INFANTILES;MEAD JOHNSON NUTRICIONALES;ENFAMIL SOYA;1999-07-01;ENFAMIL SOYA POLVO 400 G;ARA + COLINA + DHA;2016-04-01;2016-08-01;lanzamiento
ALTA;V06C  FORMULAS INFANTILES;MEAD JOHNSON NUTRICIONALES;ENFAMIL COMFORT PR;2016-04-01;ENFAMIL COMFORT PR POLVO 375 GR;COLINA + DHA + HIERRO;2016-04-01;2016-08-01;BAJA, por demanda
BAJA;V06C  FORMULAS INFANTILES;MEAD JOHNSON NUTRICIONALES;ENFAMIL COMFORT PR;2016-04-01;ENFAMIL COMFORT PR POLVO 375 GR;COLINA + DHA + HIERRO;2018-04-01;2018-08-01;lanzamiento
BAJA;V06C  FORMULAS INFANTILES;MEAD JOHNSON NUTRICIONALES;ENFAMIL COMFORT PR;2016-04-01;ENFAMIL COMFORT PR POLVO 375 GR;COLINA + DHA + HIERRO;2018-12-01;2019-04-01;lanzamiento
BAJA;V06C  FORMULAS INFANTILES;ASPEN LABS;PROGRESS GOLD;2014-02-01;PROGRESS GOLD POLVO ETAP 3 900G+ 2PZ TO ALLI;ACIDO LINOLEICO + COLECALCIFEROL + RETINOL;2014-08-01;2014-12-01;lanzamiento
BAJA;V06C  FORMULAS INFANTILES;ASPEN LABS;PROGRESS GOLD;2014-02-01;PROGRESS GOLD POLVO ETAP 3 900G+ 2PZ TO ALLI;ACIDO LINOLEICO + COLECALCIFEROL + RETINOL;2015-08-01;2015-12-01;lanzamiento
BAJA;V06C  FORMULAS INFANTILES;NUCITEC, S.A. DE C.V.;ALPHA-PRO 1;2013-04-01;ALPHA-PRO 1 PVO LTA 400 G;ALFATOCOFEROL + COLECALCIFEROL + RETINOL;2014-12-01;2015-04-01;lanzamiento
ALTA;V06C  FORMULAS INFANTILES;NUCITEC, S.A. DE C.V.;ALPHA-PRO 1;2013-04-01;ALPHA-PRO 1 PVO LTA 400 G;ALFATOCOFEROL + COLECALCIFEROL + RETINOL;2015-04-01;2015-08-01;BAJA, por demanda
BAJA;V06C  FORMULAS INFANTILES;NUCITEC, S.A. DE C.V.;ALPHA-PRO 1;2013-04-01;ALPHA-PRO 1 PVO LTA 400 G;ALFATOCOFEROL + COLECALCIFEROL + RETINOL;2016-12-01;2017-04-01;lanzamiento
ALTA;V06C  FORMULAS INFANTILES;NUCITEC, S.A. DE C.V.;ALPHA-PRO 1;2013-04-01;ALPHA-PRO 1 PVO LTA 400 G;ALFATOCOFEROL + COLECALCIFEROL + RETINOL;2018-08-01;2018-12-01;ALTA, por demanda
ALTA;V06C  FORMULAS INFANTILES;BIOCODEX MEXICO S.A.;INFATRINI;2013-07-01;INFATRINI POLVO 400 G;ARA + CALCIO + DHA;2014-08-01;2014-12-01;ALTA, por demanda
